TWEET,COMMENTS,LIKES,RETWEETS
"I am ready to fight for you and for our nation. Every day. Without exception, without reservation. And with a full and devoted heart.",10.4K,94.5K,15K
We need a president who will unite our country and bring out our best — not one who stokes division and brings out our worst.,9.7K,111.2K,17.1K
"Folks, we're just a few days away from our final public fundraising deadline, and we need your help to hit our goal.  Every donation — big or small — makes a big difference during these final weeks.  If you're able, please chip in:",1.5K,6.6K,1.8K
"On National Farmers Day, we honor the hardworking men and women who drive our economy, fuel our rural communities, and nourish our nation. A Biden-Harris administration will work every day to restore the dignity our farmers deserve and help them build back better than before.",1.7K,21K,4.3K
"Today marks 22 years since Matthew Shepard passed away after a brutal anti-gay hate crime. Over two decades later, violence against LGBTQ+ Americans is at an all-time high. As president, I'll strengthen our hate crimes laws and make clear that bigotry has no place in America.",2.8K,117.7K,21.5K
"There's no question: we are neck and neck in Ohio — and with early voting underway and only 22 days until Election Day, there's no time to waste. Join us live from Cincinnati as we get out the vote:",1.5K,10.8K,2.9K
"Donald Trump is running TV ads taking Dr. Fauci out of context and without his permission.  So, here’s a message from the President in his own words.",6K,144.2K,51.2K
"GEORGIA VOTERS: Today, 10/12, is the first day to vote early in person! Go to http://iWillVote.com to find a location near you, and share the link with friends and family. #gapol   Not in GA? Go to http://iWillVote.com to find information about voting in your state.",288,4.2K,1.7K
"I'm in Toledo, Ohio, to discuss my plans to build the economy back better for working families. Tune in.",2.1K,14.8K,3.4K
"Listen up. It's time to vote! Go to http://IWillVote.com to find out how you can drop your ballot in the dropbox like it's hot, and make your voice heard. I'm voting for the first time come join me ",1.1K,20.8K,6.8K
Georgia — you don’t have to wait until November 3rd to cast your ballot. Early voting begins today.  Head to http://iwillvote.com/GA to find all the info you need.,1.9K,20.7K,5.6K
How it started:            How it's going:,4.5K,319.9K,26.9K
"On this Indigenous People’s Day, we must both recognize the past that has brought us here, and commit to one another to write a new future of promise, partnership, and equal opportunity for the proud Tribal Nations of our country.",2.9K,36.5K,8.1K
"Health care is deeply personal to me. And I guarantee you that if I'm elected president, I will protect your family's health care as if it were my own.",4.1K,66.2K,14.4K
"From Seneca Falls to Selma to Stonewall, we’re at our best when the promise of America is available to all.",5.4K,91.1K,13.1K
"Brayden — you have heart, courage, and maturity beyond your years. You have unlimited potential — and I can't wait to see what your future holds.",3.5K,129.2K,27.7K
"This election, you have the power to choose:  Hope over fear. Truth over lies. Unity over division.  Vote.",12.4K,60.3K,12.7K
"I helped pull this country out of a recession before — and, as president, I’ll do it again.",36.1K,453.3K,55.3K
"In January, I said President Trump was the worst possible leader to deal with a public health crisis. And everything we’ve been through in the months since has proven that to be true.",3.6K,41.5K,12K
"When President Trump was told one thousand Americans were dying every day from COVID-19, he shrugged it off and said, ""it is what it is.""  It is what it is?  This president doesn't even pretend to care about the Americans he swore to serve. It's disgraceful.",7.9K,148.3K,27.8K
"Today we join Polish-Americans in celebrating General Pulaski, whose heroism built the American cavalry and saved the life of George Washington. America will always stand with the Polish people against the common threats we face.",2.4K,45.4K,7K
"Today, let's all celebrate the one billion girls and young women around the world — and recommit to fight for their education, work, health, rights, and opportunities. A Biden-Harris administration will work to elevate their voices and ensure an equal future. #DayOfTheGirl",3K,85.3K,14.2K
"I want every member of the LGBTQ+ community to know you are loved and accepted just as you are — whether you've come out or not. I'll fight every day in the White House to create a country where you can live open, proud, and free — without fear. #NationalComingOutDay",8.4K,317.3K,60.1K
There is no excuse for President Trump’s reckless behavior.,5.2K,83.6K,26.3K
"I’m in Erie, Pennsylvania, to discuss my plans to build back better. Tune in.",3K,17.9K,3.7K
"We're eight months into this crisis, and this president still has no plan to rebuild our economy.  I do. I'll get America back to work — and build back better.  Here's how:",6K,29.6K,7.1K
"Let’s go vote, America.  http://iwillvote.com",16.6K,204.9K,32.1K
We need a president who understands hardworking Americans — not one who looks down on them.,22.7K,287.6K,36.8K
"What does building back better mean for you?  - Millions of new, good-paying jobs - A $15 federal minimum wage - Stronger benefits and fair workplaces - An economy that works for everyone—not just the wealthy - The choice to join a union  That's the future we can build together.",8.9K,55.9K,11.9K
"It’s going great.   If everyone joins me in giving at http://joebiden.com every time they say “lock her up” or “crooked” or “emails,” I bet we can fund Biden-Harris straight through to November 3rd.",10.5K,113.7K,21K
"If you're sick, struggling, or worried about how you're going to get through the day — know you are not alone.  We're all in this together. And together, we'll emerge stronger than before.",2.3K,31.1K,8.4K
To all my fellow Delawareans — today is your last day to register to vote. Head to http://iwillvote.com/DE to get registered today.,1.3K,17K,4.2K
"As a proud graduate of Howard University, I’m always excited to hear from HBCU students. We are family—no matter which school we call home, or where we pledged.",2.6K,50.2K,9.6K
"Over 213,000 Americans have died from this virus — and the hard truth is it didn’t have to happen this way.",3.4K,34.5K,9.5K
You and I can change the course of history.  Vote: http://iwillvote.com,5.6K,43.3K,8.9K
"40,000 people a day are coming down with the coronavirus. What is the matter with this guy?",9.4K,192.8K,45.2K
John — and farmers across the country — can’t afford four more years of a climate change denier in the White House.,2.1K,43.2K,10K
You are not alone.  We are stronger than we ever knew. We are resilient.,1.7K,40.2K,9.8K
"Congratulations to the UN World Food Program. With global hunger on the march, made worse by the pandemic and conflict around the world, we must come together to fight food insecurity. As president, I'll support the WFP and reassert American leadership to address global hunger.",1.3K,59.1K,9.3K
25 days. Let’s win this thing.,22.6K,651.4K,71.9K
"Good morning. 25 days to go. Let’s get this done, together→ http://iwillvote.com.",4.9K,133K,15.2K
"What we need in America is leadership that seeks to de-escalate tensions, to open lines of communication, and to bring us together. To heal — and to hope.  As president, that is precisely what I will do.",6.2K,108.1K,16.2K
"When Governor Whitmer worked to protect her state from a deadly pandemic, President Trump issued a call to ""LIBERATE MICHIGAN!""  That call was heard.  He's giving oxygen to the bigotry and hate we see on the march in our country — and we have to stop it.",15.3K,299.9K,59.6K
"Jill and I are keeping the Gulf Coast in our prayers tonight. If you’re in Hurricane Delta’s path, please heed the advice of local officials, take steps to prepare, and stay safe.",1.2K,27.2K,4.9K
"Time and time again, President Trump has refused to condemn white supremacy and stoked the flames of hate for political gain.  It’s a pattern — and America deserves better.",9.7K,31.5K,7.5K
". @CP3  and  @StephenCurry30  know exactly what it means to finish strong down the stretch. We’re in the closing days of this campaign, and it’s time to finish this fight and cast our ballots.   Don’t miss your shot: Register to vote today at http://iwillvote.com.",1.5K,22K,4.6K
