TWEET,COMMENTS,LIKES,RETWEETS
,4.4K,27.2K,9.1K
There Joe goes again,1.3K,9.7K,3.2K
Florida Man Caught Requesting Ballot For Wife Who Died In 2018,802,6K,2.5K
World Health Organization Appeals To ‘All World Leaders: Stop Using Lockdown As Your Primary Control Method’,532,9.5K,4.2K
"....Much of the money we have spent is on our ground game, said to be the best ever put together. I’ll let you know how good it is on November 3rd. Very expensive to do, but opportunity could be BIG! I will spend additional money if we are not spending enough!",1.8K,18.5K,3.9K
"I keep reading Fake News stories that my campaign is running low on money. Not true, & if it were so, I would put up money myself. The fact is that we have much more money than we had 4 years ago, where we spent much less money than Crooked Hillary, and still easily won, 306-223!",4.3K,30.1K,7.4K
"Great Florida Rally tonight. Big crowd, lot of enthusiasm (you win races with enthusiasm). Just got back. Tomorrow night it’s off to Pennsylvania and another BIG crowd. We are winning. Economy is starting to boom. Good timing!!!",5.5K,42.6K,9.6K
"FLORIDA! Send in your absentee ballot if you have requested one. In-person Early Voting begins next week—so get your friends, get your family, get your neighbors, and GET OUT AND VOTE! Need more information? Go to http://Vote.DonaldJTrump.com! #MAGA",9.1K,58.9K,16.8K
"I did more in 47 months than Biden did in 47 years. Now, he is pushing the most far-left agenda ever put forward by a presidential nominee...",9.6K,47.4K,13.2K
"Biden refuses to answer questions on packing the Supreme Court. He says voters “don’t deserve” to know. If they win, Dems will pack the #SCOTUS w/ radical left justices who will shred the #2A, empower violent mobs, and shield deadly criminals & terrorists.",5.1K,34.7K,10.7K
"Joe Biden’s agenda would be a catastrophe for Florida Seniors. For years, Biden tried to cut Social Security and Medicare. Now Biden is pledging mass amnesty and federal healthcare for illegal aliens—decimating Medicare and destroying Social Security...",4.5K,33.6K,10.4K
"It was great to be back in my home state of FLORIDA to make my official return to the campaign trail. I am energized by your prayers, humbled by your support, and absolutely determined to finish what we started and Make America Greater than Ever Before!",5.7K,66.1K,17.5K
,2.8K,37K,9.9K
"Getting ready to land in Florida. BIG CROWD! Live on various networks:  @OANN ,  @cspan ,  @newsmax  and others!!!",10.6K,60.6K,12.8K
". @FoxNews  allows more negative ads on me than practically all of the other networks combined. Not like the old days, but we will win even bigger than 2016. Roger Ailes was the GREATEST!",15.3K,72.2K,18.6K
"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",13.7K,118.5K,30.7K
"Biden losing big in Florida. Only Fake Polls show otherwise! Bad for Healthcare. Thinks he’s running for the Senate. Forgot Mitt Romney’s name, and where he was!",10.4K,87.9K,22.1K
Happy National Farmers Day!,3.9K,50.8K,12K
"The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself. Open up your states, Democrat governors. Open up New York. A long battle, but they finally did the right thing!",16.1K,180.6K,62.8K
Republicans should be strongly focused on completing a wonderful stimulus package for the American People!,9.7K,93.6K,20.9K
"What’s going on, almost nobody is showing up for Sleepy Joe rallies!",29.7K,164.6K,32.8K
"Sleepy Joe Biden had a particularly bad day today. He couldn’t remember the name of Mitt Romney, said again he was running for the U.S. Senate, and forgot what State he was in. If I did any of this, it would be disqualifying. With him, he’s just Sleepy Joe!",14.3K,135.8K,40.1K
"He should sue the women, and all of those who illegally worked with them, for false and disgusting accusations!!!",8.1K,48.2K,14.1K
Cuomo Dodges on Whether Sending COVID Patients into Nursing Homes Was a Mistake https://breitbart.com/clips/2020/10/12/cuomo-dodges-on-whether-sending-covid-patients-into-nursing-homes-was-a-mistake/… via  @BreitbartNews . He really blew it. Could have put people in Convention Center or Hospital Ship. Didn’t have a clue!!!,6.3K,40.6K,14.9K
Leaving now for Florida Rally. Big crowds!,7.6K,54.7K,16.2K
"Viewership for NBA Finals Finale Crash Nearly 70%, Beaten by Random Sunday Night Football Game https://breitbart.com/sports/2020/10/12/viewership-for-nba-finals-finale-crash-nearly-70-from-2019-again-beaten-by-random-sunday-night-football-game/… via  @BreitbartNews  Maybe they were watching in China, but I doubt it. Zero interest!",8.3K,54.8K,15.2K
"Joe Biden has let the Unions down — always has, always will!",5.1K,45.2K,13.1K
